user_genome	classification
C_P01_bin.1	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus intestini
C_P01_bin.4	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp900541315
C_P01_bin.6	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Duodenibacillus;Duodenibacillus intestinigallinarum
C_P01_bin.7	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
C_P01_bin.8	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis
C_P02_bin.7	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
C_P02_bin.8	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gallintestinimicrobium;Gallintestinimicrobium propionicum
C_P02_bin.9	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
C_P03_bin.2	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
C_P03_bin.3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_B
C_P03_bin.4	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
C_P03_bin.5	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium duncaniae
C_P03_bin.7	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister invisus
C_P04_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas fastidiosa
C_P04_bin.11	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000431015
C_P04_bin.14	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp000435555
C_P04_bin.15	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
C_P04_bin.16	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera elsdenii_A
C_P04_bin.18	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1279;UMGS1279 sp900550315
C_P04_bin.19	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
C_P04_bin.2	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter faecis
C_P04_bin.20	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella timonensis
C_P04_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp000432375
C_P04_bin.4	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488;CAG-488 sp000434055
C_P04_bin.5	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;CAG-194;CAG-194 sp000432915
C_P04_bin.6	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcoides;Ruminococcoides intestinale
C_P04_bin.7	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
C_P04_bin.9	Bacteria;Bacillota;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium mitsuokai
C_P05_bin.1	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus ammoniilyticus
C_P06_bin.1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis
C_P06_bin.10	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436915
C_P06_bin.18	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
C_P06_bin.2	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;Ruminococcus_B gnavus
C_P06_bin.3	Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;Bilophila wadsworthia
C_P06_bin.8	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei
C_P07_bin.1	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera massiliensis
C_P07_bin.11	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium longum
C_P07_bin.12	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_I;Eubacterium_I ramulus
C_P07_bin.16	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor intestinalis
C_P07_bin.17	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius
C_P07_bin.21	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
C_P07_bin.4	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia hominis
C_P07_bin.5	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
C_P07_bin.6	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola fusiformis
C_P08_bin.1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella timonensis
C_P09_bin.3	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella;Sutterella wadsworthensis_A
C_P09_bin.6	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp000431375
C_P10_bin.5	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003538135
C_P10_bin.7	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
C_P11_bin.1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella rara
C_P11_bin.3	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
C_P11_bin.4	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera massiliensis
C_P11_bin.5	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter faecis
C_P11_bin.6	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
C_P11_bin.7	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217;CAG-217 sp000436335
C_P12_bin.5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900543155
C_P12_bin.6	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003538135
C_P12_bin.8	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella;Sutterella wadsworthensis_A
C_P13_bin.2	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp003479805
C_P14_bin.1	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
C_P14_bin.10	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp900545925
C_P14_bin.11	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900545245
C_P14_bin.12	Bacteria;Bacillota;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595
C_P14_bin.13	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp002320515
C_P14_bin.15	Bacteria;Bacillota;Clostridia;Christensenellales;CAG-917;CAG-475;CAG-475 sp000434435
C_P14_bin.16	Bacteria;Bacillota;Clostridia;Christensenellales;CAG-138;Phil1;Phil1 sp001940855
C_P14_bin.17	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp934725575
C_P14_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625
C_P14_bin.3	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;CAG-510;CAG-510 sp000434615
C_P14_bin.5	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp001916715
