DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Butyrate_Power
COLOR,#E64B35
WIDTH,300
DATA
C_P20_bin.4,  3.73016471
S_ERR13594555_bin.9,  0.00000000
S_ERR13594576_bin.2,  0.00000000
C_P30_bin.5, 19.70413257
S_ERR13594535_bin.2,  0.00000000
C_P17_bin.5, 41.14627393
C_P17_bin.2,  5.39690886
C_P21_bin.6, 31.77560186
C_P04_bin.16,  0.00000000
S_ERR13594539_bin.5,  0.00000000
C_P21_bin.11,  1.91344704
C_P04_bin.7,  6.37137107
C_P14_bin.11,  0.00000000
C_P09_bin.6,  2.06037829
S_ERR13594578_bin.2,  1.08736361
C_P21_bin.13,  0.00000000
S_ERR13594544_bin.9,  0.00000000
C_P04_bin.5,  0.00000000
C_P14_bin.13,  0.00000000
S_ERR13594578_bin.4,  0.00000000
S_ERR13594514_bin.4,  0.00000000
S_ERR13594591_bin.1,  0.00000000
S_ERR13594539_bin.3, 50.54391364
S_ERR13594520_bin.1, 13.22480421
C_P04_bin.1,  0.00000000
C_P04_bin.19,  0.00000000
S_ERR13594531_bin.7,  0.87100575
C_P14_bin.17,  0.00000000
S_ERR13594524_bin.8,  5.38673582
C_P11_bin.7,  0.00000000
C_P14_bin.5,  0.00000000
C_P07_bin.5,  0.00000000
S_ERR13594541_bin.3,  0.00000000
S_ERR13594567_bin.3,  4.11223714
C_P03_bin.7,  0.00000000
S_ERR13594560_bin.2,  0.00000000
S_ERR13594572_bin.4,  0.00000000
S_ERR13594545_bin.7,  0.00000000
C_P17_bin.14,  0.00000000
S_ERR13594583_bin.2,  0.00000000
C_P16_bin.8,  0.00000000
S_ERR13594512_bin.4,  0.00000000
C_P20_bin.3,  0.00000000
S_ERR13594538_bin.2,  0.00000000
C_P18_bin.17,  0.00000000
S_ERR13594520_bin.2,  0.00000000
C_P14_bin.12,  0.00000000
C_P04_bin.4,  0.00000000
S_ERR13594572_bin.3,  0.00000000
S_ERR13594536_bin.1,  0.00000000
S_ERR13594549_bin.4,  0.00000000
S_ERR13594538_bin.3,  0.02928979
S_ERR13594527_bin.2,  3.00935225
S_ERR13594586_bin.2,  0.00000000
C_P29_bin.11,  0.00000000
